"year","month","day_of_week","hour_of_day","timestamp","origin_station_complex_id","origin_station_complex_name","origin_latitude","origin_longitude","destination_station_complex_id","destination_station_complex_name","destination_latitude","destination_longitude","estimated_average_ridership","origin_point","destination_point"
"2024","9","Monday","20","2024-09-02T20:00:00.000","200","Beach 90 St (A,S)","40.588034","-73.813641","413","Wall St (4,5)","40.707557","-74.011862","0.275","POINT (-73.813641 40.588034)","POINT (-74.011862 40.707557)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","83","Woodhaven Blvd (J,Z)","40.693879","-73.851576","450","103 St-Corona Plaza (7)","40.749865","-73.8627","0.2458","POINT (-73.851576 40.693879)","POINT (-73.8627 40.749865)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","234","East Broadway (F)","40.713715","-73.990173","344","Kingston Av (3)","40.669399","-73.942161","0.228","POINT (-73.990173 40.713715)","POINT (-73.942161 40.669399)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","242","Fort Hamilton Pkwy (F,G)","40.650782","-73.975776","179","Nostrand Av (A,C)","40.680438","-73.950426","0.5772","POINT (-73.975776 40.650782)","POINT (-73.950426 40.680438)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","471","34 St-Hudson Yards (7)","40.755882","-74.00191","84","85 St-Forest Pkwy (J)","40.692435","-73.86001","0.2482","POINT (-74.00191 40.755882)","POINT (-73.86001 40.692435)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","621","Broadway Junction (A,C,J,L,Z)","40.678896","-73.904356","221","21 St-Queensbridge (F)","40.754203","-73.942836","0.5598","POINT (-73.904356 40.678896)","POINT (-73.942836 40.754203)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","293","Van Cortlandt Park-242 St (1)","40.889248","-73.898583","79","86 St (N)","40.592721","-73.97823","0.973","POINT (-73.898583 40.889248)","POINT (-73.97823 40.592721)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","64","71 St (D)","40.619589","-73.998864","617","Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)","40.684162","-73.977789","1.1806","POINT (-73.998864 40.619589)","POINT (-73.977789 40.684162)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","225","47-50 Sts-Rockefeller Ctr (B,D,F,M)","40.758663","-73.981329","185","Liberty Av (C)","40.674542","-73.896548","0.2262","POINT (-73.981329 40.758663)","POINT (-73.896548 40.674542)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","201","Beach 98 St (A,S)","40.585307","-73.820558","191","88 St (A)","40.679843","-73.85147","0.2292","POINT (-73.820558 40.585307)","POINT (-73.85147 40.679843)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","129","Halsey St (L)","40.695602","-73.904084","449","111 St (7)","40.75173","-73.855334","0.251","POINT (-73.904084 40.695602)","POINT (-73.855334 40.75173)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","159","81 St-Museum of Natural History (C,B)","40.781433","-73.972143","52","Avenue U (Q)","40.5993","-73.955929","0.2242","POINT (-73.972143 40.781433)","POINT (-73.955929 40.5993)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","254","Jamaica-179 St (F)","40.712646","-73.783817","169","Canal St (A,C,E)","40.720824","-74.005229","0.2952","POINT (-73.783817 40.712646)","POINT (-74.005229 40.720824)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","256","Parsons Blvd (F)","40.707564","-73.803326","604","161 St-Yankee Stadium (B,D,4)","40.82795","-73.925741","0.2736","POINT (-73.803326 40.707564)","POINT (-73.925741 40.82795)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","414","Bowling Green (4,5)","40.704817","-74.014065","433","Jackson Av (2,5)","40.81649","-73.907807","1.1488","POINT (-74.014065 40.704817)","POINT (-73.907807 40.81649)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","271","Steinway St (M,R)","40.756879","-73.92074","37","77 St (R)","40.629742","-74.02551","0.2334","POINT (-73.92074 40.756879)","POINT (-74.02551 40.629742)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","75","20 Av (N)","40.61741","-73.985026","76","Bay Pkwy (N)","40.611815","-73.981848","0.248","POINT (-73.985026 40.61741)","POINT (-73.981848 40.611815)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","186","Van Siclen Av (C)","40.67271","-73.890358","447","Flushing-Main St (7)","40.7596","-73.83003","0.2696","POINT (-73.890358 40.67271)","POINT (-73.83003 40.7596)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","119","1 Av (L)","40.730953","-73.981628","28","Union St (R)","40.677316","-73.98311","0.2526","POINT (-73.981628 40.730953)","POINT (-73.98311 40.677316)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","186","Van Siclen Av (C)","40.67271","-73.890358","175","Hoyt-Schermerhorn Sts (A,C,G)","40.688484","-73.985001","0.2942","POINT (-73.890358 40.67271)","POINT (-73.985001 40.688484)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","623","Canal St (J,N,Q,R,W,Z,6)","40.718701","-74.00058","109","Fresh Pond Rd (M)","40.706186","-73.895877","2.6058","POINT (-74.00058 40.718701)","POINT (-73.895877 40.706186)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","159","81 St-Museum of Natural History (C,B)","40.781433","-73.972143","126","Jefferson St (L)","40.706607","-73.922913","0.2242","POINT (-73.972143 40.781433)","POINT (-73.922913 40.706607)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","611","Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)","40.755746","-73.987581","57","W 8 St-NY Aquarium (F,Q)","40.576127","-73.975939","1.5346","POINT (-73.987581 40.755746)","POINT (-73.975939 40.576127)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","407","Astor Pl (6)","40.730054","-73.99107","418","233 St (2,5)","40.893193","-73.857473","0.223","POINT (-73.99107 40.730054)","POINT (-73.857473 40.893193)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","371","Hunts Point Av (6)","40.820948","-73.890549","476","86 St (Q)","40.777891","-73.951787","0.2682","POINT (-73.890549 40.820948)","POINT (-73.951787 40.777891)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","366","Parkchester (6)","40.833226","-73.860816","327","Chambers St (1,2,3)","40.715478","-74.009266","0.2572","POINT (-73.860816 40.833226)","POINT (-74.009266 40.715478)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","261","Forest Hills-71 Av (E,F,M,R)","40.721691","-73.844521","398","77 St (6)","40.77362","-73.959874","0.2592","POINT (-73.844521 40.721691)","POINT (-73.959874 40.77362)"
